Código,Nombre,Peso (kg/m),Largo (m)
06167,LV 1,2.71,6.05
06168,LV 2,2.743,6.05
06169,LZ 1,0.901,6.05
06170,PG 633,0.878,6.05
06171,PG 634,0.748,6.05
06172,PG 632,0.574,6.05
06173,CABEZAL MAMPARA CORREDIZA 60mm,1.006,6.05
06174,GUIA SUPERIOR PLACARD,0.698,6.05
06175,PERFIL ZEN,0.499,6.05
06176,HOJA DESLIZANTE PLEGAKIT,0.521,6.05
06177,SLIDE,0.636,6.05
06178,RIEL,2.805,6.05
06179,CANAL CPI,1.588,6.05
06180,ZOCALO M1,0.265,6.05
06181,B1,0.404,6.05
06182,B2,0.053,6.05
06183,N5,1.096,6.05
06184,N4,1.315,6.05
06185,BAJADA DE CPI,1.078,6
06186,M-32,0.325,6.05
06187,EURO 38,"0,400",6.05
06188,CRUZ PEQUEÑA,0.045,6.05
06189,M-80,1.312,7
06190,PERFIL CORREDIZO LUGLASS,1.08,6.05
06191,MARCO LIVIANO VENTANA CORREDIZA,0.567,6.05
06192,TRAVESAÑO LIVIANO VENTANA CORREDIZA,0.347,6.05
06193,PARANTE LATERAL LIVIANO VENTANA CORREDIZA,0.374,6.05
06194,PARANTE CENTRAL LIVIANO VENTANA CORREDIZA,0.355,6.05
06195,RODILLO ZEBRA,0.175,6.05
06196,ZOCALO ZEBRA,0.21,6.05
06197,PERFIL GUIA ORIENTAL,0.549,6.05
06198,PERFIL TELA ORIENTAL,0.225,6.05
06199,DG-14,4.783,3.6
06200,TRAVESAÑO 50mm CON ALA,0.721,6.05
06201,PARANTE 360°,1.006,6.05
06202,BASE PRENSA,0.55,
06203,MOVIL PRENSA,0.49,
06204,REGLA,0.384,
06205,PARANTE 180°,0.73,6.05
06206,PARANTE 90°,0.54,6.05
06207,TRAVESAÑO CON ALA LIVIANO,0.46,6.05
06208,PORTA PANEL 18mm,0.22,6.05
06209,MARCO PARA HOJA DE ABRIR DE 25mm,0.33,6.05
06210,PARANTE TRAVESAÑO 40mm,1,6.05
06211,MARCO PARA HOJA DE ABRIR DE 25mm PERF. 06210,0.54,6.05
06212,TRAVESAÑO 50mm DOBLE ALA,0.78,6.05
06213,TRAVESAÑO 50mm,0.674,6.05
06214,REGLA,0.33,
06215,PARANTE TUBULAR 25MM,0.284,6.05
06216,MANIJA,0.39,6.05
06217,INS 0855 INSERTO ALUMINIO,3.34,6.05
06218,JUNTA UNION TUBERIA PFRV,3.908,4.6
06219,GUIA SUPERIOR PLACARD,0.58,6.05
06220,REGLA FEXA ,0.267,6.05
06221,PARANTE TUBULAR CON ALA 25MM,0.313,6.05
06222,PARANTE TUBULAR DOBLE ALA 25MM,0.341,6.05
06223,ESCUADRA ARMADO BOX PERFIL 5062 1X1,1.097,6.05
06224,ESCUADRA ARMADO BOX PERFIL 5062 1X2,1.679,6.05
06225,ESCUADRA ARMADO BOX PERFIL 5062 2X2,2.26,6.05
06250,GUIA SUPERIOR,0.613,6.05
06251,HOJA 19mm (MELAMINA DE 15mm),0.41,6.05
06252,GUIA INFERIOR,0.65,6.05
06253,MANIJA,0.44,6.05
06254,MANIJA ERGONOMICA,0.761,6.05
06260,MESA PERFILES P1350,4.591,6.05
06290,BASE LATERAL -V2,0.684,6.05
06291,TAPA LATERAL-V2 ,1.03,6.05
06292,TAPA FRONTAL-V2 ,0.738,6.05
06300,PERFIL 06300,0.723,6.05
06301,PERFIL 06301,0.603,6.05
06302,PERFIL TIRADOR PARA TRABA BANDEROLA,1.277,6.05
06303,,,
06304,,,
06305,,,
06306,,,
06307,PERFIL 06307,0.802,6.05
06308,PERFIL 06308,0.565,6.05
06309,PERFIL 06309,0.576,6.05
06310,"PLANCHUELA 12,70 x 5,0mm",0.174,6.05
06311,BISAGRA 36 EMMI,0.714,6.05
06312,MT-70,1.002,6.05
06313,MP-1,1.381,6.05
06314,MP-2,1.622,7
06315,CENEFA,1.067,6.05
06316,MP-3,0.961,6.05
06317,609109,1.944,6.05
06318,609246,0.707,6.05
06319,609247,0.81,6.05
06320,609248,1.064,6.05
06321,609245,0.144,6.05
06330,NY2,0.864,6.05
06331,,,
06332,04/002683-1,1.593,6.05
06401,MARCO VENTANA CORREDIZA A 90º,1.14,6.2
06402,MARCO PUERTA,0.728,6.2
06406,TAPAJUNTAS DE CLIPAR 26MM,0.191,6.2
06410,JAMBA VENTANA CORREDIZA A 90º,0.615,6.2
06411,TAPAJUNTAS VENTANA CORREDIZA ,0.205,6.2
06412,,,
06413,TAPAJUNTAS VENTANA CORREDIZA A 90º,0.158,6.2
06414,,,
06415,,,
06416,,,
06417,,,
06418,MARCO VENTANA DE ABRIR,0.769,6.2
06419,,,
06420,,,
06421,MARCO PAÑO FIJO CURVO,0.767,6.2
06430,MARCO FRENTE COPLANAR CON MOSQUITERO,0.903,6.2
06431,MARCO RECTO 2 GUIAS VENTANA CORREDIZA A 90º,1.155,6.2
06451,MARCO RECTO 3 GUIAS VENTANA CORREDIZA A 90º,1.666,6.2
06460,JAMBA MARCO 3 GUIAS,0.968,6.2
06461,MARCO 3 GUIAS VENTANA CORREDIZA A 90º,1.686,6.2
06499,MARCO VENTANA DESPLAZABLE ,0.611,6.2
,,,
07000,PORTA,0.308,6.05
07001,COMODIN WINTER,0.61,6.05
07002,VAIVEN WINTER,0.423,6.05
07003,BASE WINTER,0.733,6.05
07004,ZOCALO CORTINA,0.319,6.05
07005,ESCALON,0.526,6.05
07006,ZOCALO CORTINA 2000,0.384,6.05
07007,CAÑO,0.289,6.05
07008,ZOCALO SANITARIO,0.339,6.05
07009,BASE FIJA,0.678,6.05
07010,BASE MOVIL,0.815,6.05
07011,PORTAPRECIOS,0.288,6.05
07012,MARCO CÁMARA ANCHO,0.64,6.05
07013,CANTO CAMARA,0.516,6.05
07014,CANTO CARROCERIA,0.869,6.05
07015,CANTO CARROCERIA CONTINUACION 07014,0.692,6.05
07016,ANGULO CON CAVA,0.326,6.05
07017,ROLLO PORTA CORTINA,0.497,
07018,PERFIL PARA MOSQUITERO MOLPACO,0.409,6.05
07019,,,
07020,PERFIL ESQUINERO,0.656,6.05
07020,PERFIL ESQUINERO,0.643,
07021,BASE RADIO SANITARIO,0.226,6.05
07022,MARKET 22,0.867,6.05
07023,MARKET 23,0.777,6.05
07024,CREMALLERA,0.093,6.05
07025,ZOCALO HEMBRA,0.161,6.05
07026,ZOCALO MACHO,0.219,6.05
07027,TAPA ROLLO,0.736,6.05
07028,GUIA CORTINA,0.422,6.05
07029,TAPA ROLLO DE 67MM,0.84,6.05
07030,ZOCALO MACHO REFORZADO,0.22,6.05
07031,CAJA POLIFUNCIONAL 72,0.98,6.05
07032,ZOCALO CLIPABLE MACHO-HEMBRA,0.344,6.05
07033,BASE FIJA LIVIANA,0.361,6.05
07034,BASE MOVIL LIVIANA,0.525,6.05
07035, TUBO 38MM,0.365,"6,05"
07036,PUNTERA ESTRIBO 5074,0.783,6.05
07037,FRENTE CENEFA,0.779,6.05
07038,PERFIL LATERAL ALTA GAMA,1.646,6.05
07039,ZÓCALO MINI,0.199,6.05
07040,GUÍA DE 30 MM,0.282,6.05
07041,GUÍA SUPERIOR PARA HORIZONTAL CON RUEDA,0.516,6.05
07042,TUBO 150,0.143,6.05
07043,CAJON 32MM,0.384,6.05
07044,,,
07045,,,
07046,,,
07047,,,
07048,,,
07049,MAG 001,1.196,6.05
07050,POLILUX POLITAP,0.365,6.05
07052,POLILUX PERFIL A LATERAL ALERO,0.937,6.05
07053,POLILUX PERFIL B FRONTAL ALERO,0.368,6.05
07054,POLILUX PERFIL C ESCUADRA ALERO,0.528,6.05
07055,POLILUX PERFIL D LATERAL ALERO DOBLE,1.175,6.05
07056,MARCO PUERTA,0.585,6.05
07057,MANIJA PUERTA,0.743,6.05
07058,PERFIL ALETAS ,0.245,6.2
07059,,,
07060,DIFUSOR BOMBILLA,0.196,6.05
07100,JAMBA CENTRAL,0.42,6.05
07101,JAMBA LATERAL,0.672,6.05
07102,TRAVESAÑO SUPERIOR,0.666,6.05
07103,TRAVESAÑO INFERIOR,0.688,6.05
07104,TAPA,0.276,6.05
07105,GUIA,0.304,6.05
07106,GUIA COLECTORA,0.475,6.05
07107,PIVOTANTE,0.533,6.05
07108,HACHE,0.293,6.05
07109,TOLDO PORTA POLICARBONATO,0.719,
07110,TRAVESAÑO SUPERIOR EXTENDIDO,0.742,6.05
07150,GUIA INFERIOR,0.232,
07151,GUIA SUPERIOR,0.198,6.05
07160,CALENDARIO MODELO 2004,0.698,6.05
07161,,,
07162,,,
07163,,,
07164,,,
07165,BORDE TAPA 18mm,0.432,
07166,PERFIL NEO,0.265,6.05
07167,PLANCHUELA,0.275,6.05
07168,PERFIL J,0.358,6.05
07169,PERFIL C ,0.501,6.05
07170,PERFIL VITRINA MINORU,0.527,6.05
07171,,,
07172,,,
07173,,,
07174,,,
07175,,,
07176,,,
07177,,,
07178,,,
07179,,,
07180,PERFIL P-7419,0.374,6.05
08001,MARCO VENTANA CORREDIZA,2.127,6.2
08002,ENCUENTRO CENTRAL,0.51,6.05
08003,ENCUENTRO CENTRAL REFORZADO,1.15,6.05
08004,HOJA CAMARA 34MM,1.186,6.05
08005,MOSQUITERO,0.98,6.05
08006,GUIA MARCO INFERIOR TRANSITABLE,0.112,6.05
08007,UMBRAL DESAGUE,0.697,6.05
08008,CORREDERA,0.17,6.05
08009,MARCO INFERIOR TRANSITABLE,1.957,6.05
08010,TAPAJUNTA 45MM,0.328,6.05
08011,MARCO DOS HOJAS CORREDIZAS,1.405,6.2
08012,TAPAJUNTA 25MM,0.196,6.05
08013,TAPAJUNTA 23MM,0.185,6.05
08014,UNION MARCO 180º 60MM,0.285,6.05
08015,GUIA ADICIONAL,0.7,6.05
08016,ADAPTADOR VIDRIO SIMPLE,0.312,6.05
08017,UNION MARCO 180º 120MM,1.28,6.05
08018,MARCO REBATIR 65MM,0.995,6.2
08019,HOJA REBATIR DVH,1.178,6.05
08020,CONTRAVIDRIO PAÑO FIJO 15MM,0.35,6.05
08021,CONTRAVIDRIO PAÑO FIJO 34MM,0.27,6.05
08022,CONTRAVIDRIO RECTO PAÑO FIJO 15MM,0.425,6.05
08023,CONTRAVIDRIO RECTO PAÑO FIJO 34MM,0.325,6.05
08024,HOJA 83MM CON CONTRAVIDRIO,1.174,6.05
08025,ENCUENTRO CENTRAL,0.475,6.05
08026,,,
08027,MARCO CORREDIZO  PARA GUIA ACOPLABLE ,1.472,6.2
08028,GUIA CORREDIZA ACOPLABLE,0.915,6.2
08029,PREMARCO PASACABLE,0.74,6.05
08030,PREMARCO PARA HORMIGON,0.36,6.05
08031,PREMARCO,0.425,6.05
08032,ACOPLE CANAL DE CONDENSACION,0.521,6.05
08033,MARCO HOJA CORREDIZA CON PAÑO FIJO,1.337,6.2
08034,TAPA TERMINACION MARCO,0.425,6.05
08035,,,
08036,HOJA VENTILUZ,1.25,6.05
08037,,,
08038,,,
08039,,,
08040,PARANTE CENTRAL REFORZADO ,2.155,6.2
08041,MARCO VENTANA DE ABRIR NO COPLANAR,1.075,6.2
08042,HOJA VENTANA DE ABRIR NO COPLANAR,1.129,6.05
08043,ENCUENTRO CENTRAL VENTANA DE ABRIR ,1.035,6.05
08044,CONTRAVIDRIO RECTO 31MM,0.377,6.05
08045,CONTRAVIDRIO CURVO 31MM,0.233,6.05
08046,,,
08047,,,
08048,,,
08049,,,
08050,MARCO PARA VENTANA DE APERTURA EXTERNA,1.117,6.05
08051,HOJA PARA VENTANA DE APERTURA EXTERNA,0.928,6.05
08052,PLETINA PARA VENTANA DE APERTURA EXTERNA,0.186,6.05
08053,,,
08054,,,
08055,MOSQUITERO APLICABLE ,0.32,6.05
08056,,,
08057,,,
08058,,,
08059,,,
08060,PARANTE LATERAL/CENTRAL 83MM,2.171,6.05
08061,,,
08062,,,
08063,,,
08064,CABEZAL/ ZÓCALO 83MM,1.172,6.05
08099,MARCO VENTANA DESPLAZABLE,0.887,6.05
08100,TRAVESAÑO PUERTA DE ABRIR,1.55,6.05
08101,HOJA PUERTA DE ABRIR,1.34,6.2
08102,MARCO PUERTA DE ABRIR,1.106,6.2
08103,,,
08104,ZOCALO PUERTA DE ABRIR,0.31,6.05
08105,ENCUENTRO CENTRAL,0.983,6.2
08106,,,
08107,ZÓCALO PUERTA,1.831,6.05
08204,TRAVESAÑO,0.9,6.05
08214,CONTRAVIDRIO RECTO 32MM,0.133,6.05
08500,,,
08501,,,
08502,,,
08503,,,
08504,HOJA RPT,0.711,6.05
08505,,,
08540,,,
08541,MARCO VENTANA DE ABRIR NO COPLANAR RPT ,,6.2
08542,HOJA VENTANA DE ABRIR NO COPLANAR RPT,,6.05
08543,MARCO VENTANA DE ABRIR 1 NO COPLANAR RPT ,0.563,6.2
08544,MARCO VENTANA DE ABRIR 2 NO COPLANAR RPT,0.616,6.2
08545,HOJA VENTANA DE ABRIR 1 NO COPLANAR RPT,0.483,6.05
08546,HOJA VENTANA DE ABRIR 2 NO COPLANAR RPT,0.68,6.05
09001,MARCO VENTANA CORREDIZA REFORZADO,0.92,6.05
09002,TRAVESAÑO VENTANA CORREDIZA REFORZADO,0.509,6.05
09003,PARANTE LATERAL VENTANA CORREDIZA REFORZADA,0.51,6.05
09004,PARANTE CENTRAL VENTANA CORREDIZA REFORZADA,0.5,6.05
09005,MOSQUITERO VENTANA CORREDIZA REFORZADA,0.432,
09006,,,
09007,,,
09008,,,
09009,,,
09010,,,
09011,TAPAJUNTA RECTO,0.251,6.2
09012,TAPAJUNTA CURVO,0.312,6.2
09013,TAPAJUNTA,0.148,6.2
09014,,,
09015,,,
09016,,,
09017,,,
09018,,,
09019,,,
09020,,,
09021,,,
09022,,,
09023,,,
09024,,,
09025,,,
09026,,,
09027,,,
09028,,,
09029,,,
09030,,,
09031,,,
09032,,,
09033,,,
09034,,,
09035,,,
09036,,,
09037,,,
09038,,,
09039,,,
09040,,,
09041,,,
09042,,,
09043,,,
09044,,,
09045,,,
09046,,,
09047,,,
09048,,,
09049,,,
09050,,,
09051,,,
09052,,,
09053,,,
09054,,,
09055,,,
09056,,,
09057,,,
09058,,,
09059,,,
09060,,,
09061,,,
09062,,,
09063,,,
09064,,,
09065,,,
09066,,,
09067,,,
09068,,,
09069,,,
09070,,,
09071,,,
09072,,,
09073,,,
09074,,,
09075,,,
09076,,,
09077,,,
09078,,,
09079,,,
09080,,,
09081,,,
09082,,,
09083,,,
09084,,,
09085,,,
09086,,,
09087,,,
09088,,,
09089,,,
09090,,,
09091,,,
09092,,,
09093,,,
09094,,,
09095,,,
09096,,,
09097,,,
09098,,,
09099,,,
09100,COLUMNA 96mm,1.645,6.2
09101,COLUMNA LATERAL 96mm,1.035,6.2
09102,½ COLUMNA ROTADOR HEMBRA 96mm,1.475,6.2
09103,½ COLUMNA ROTADOR MACHO 96mm,1.154,6.2
09104,TRAVESAÑO,0.968,6.2
09105,TRAVESAÑO SUPERIOR – INFERIOR,0.687,6.05
09106,HOJA,0.527,6.2
09107,HOJA CON ALA,0.564,6.2
09108,HOJA DVH,0.562,6.2
09109,SOPORTE COLUMNA-TRAVESAÑO,0.418,6.05
09110,GOTERON,0.215,6.05
09111,CIERRE DE LOSAS 50MM,0.37,
09112,CIERRE DE LOSAS 80MM,0.52,
09113,CIERRE DE LOSAS 100MM,0.59,
09114,COLUMNA ESQUINA 96mm,1.83,6.2
09115,TRAVESAÑO SUPERIOR,0.695,6.05
09116,TRAVESAÑO INFERIOR,0.775,6.05
09117,COLUMNA 56MM,1.35,6.2
09118,COLUMNA 43MM – TRAVESAÑO,1.06,6.2
09119,,,
09120,COLUMNA 130 mm,2.467,6.2
09121,,,
09122,,,
09123,,,
09124,,,
09125,,,
09126,,,
09127,,,
09128,,,
09129,,,
09130,,,
09131,,,
09132,,,
09133,,,
09134,,,
09135,,,
09136,,,
09137,,,
09138,,,
09139,,,
09140,,,
09141,,,
09142,,,
09143,,,
09144,,,
09145,,,
09146,,,
09147,,,
09148,,,
09149,,,
09150,,,
09151,,,
09152,,,
09153,,,
09154,,,
09155,,,
09156,,,
09157,,,
09158,,,
09159,,,
09160,,,
09161,,,
09162,,,
09163,,,
09164,,,
09165,,,
09166,,,
09167,,,
09168,,,
09169,,,
09170,,,
09171,,,
09172,,,
09173,,,
09174,,,
09175,,,
09176,,,
09177,,,
09178,,,
09179,,,
09180,,,
09181,,,
09182,,,
09183,,,
09184,,,
09185,,,
09186,,,
09187,,,
09188,,,
09189,,,
09190,,,
09191,,,
09192,,,
09193,,,
09194,,,
09195,,,
09196,,,
09197,,,
09198,,,
09199,,,
09200,PASAMANOS REDONDO,1.158,6.2
09201,PASAMANOS RECTANGULAR,0.93,6.2
09202,TAPA PASAMANOS,0.255,
09203,COLUMNA BARANDA BALCON,1.09,
09204,SOPORTE VIDRIO,0.411,
09205,,,
09206,,,
09207,,,
09208,,,
09209,,,
09210,,,
09211,,,
09212,,,
09213,,,
09214,,,
09215,,,
09216,,,
09217,,,
09218,,,
09219,,,
09220,,,
09221,,,
09222,,,
09223,,,
09224,,,
09225,,,
09226,,,
09227,,,
09228,,,
09229,,,
09230,,,
09231,,,
09232,,,
09233,,,
09234,,,
09235,,,
09236,,,
09237,,,
09238,,,
09239,,,
09240,,,
09241,,,
09242,,,
09243,,,
09244,,,
09245,,,
09246,,,
09247,,,
09248,,,
09249,,,
09250,,,
09251,,,
09252,,,
09253,,,
09254,,,
09255,,,
09256,,,
09257,,,
09258,,,
09259,,,
09260,,,
09261,,,
09262,,,
09263,,,
09264,,,
09265,,,
09266,,,
09267,,,
09268,,,
09269,,,
09270,,,
09271,,,
09272,,,
09273,,,
09274,,,
09275,,,
09276,,,
09277,,,
09278,,,
09279,,,
09280,,,
09281,,,
09282,,,
09283,,,
09284,,,
09285,,,
09286,,,
09287,,,
09288,,,
09289,,,
09290,,,
09291,,,
09292,,,
09293,,,
09294,,,
09295,,,
09296,,,
09297,,,
09298,,,
09299,,,
09300,,,
09301,,,
09302,,,
09303,,,
09304,,,
09305,,,
09306,,,
09307,,,
09308,,,
09309,,,
09310,,,
09311,,,
09312,,,
09313,,,
09314,,,
09315,,,
09316,,,
09317,,,
09318,,,
09319,,,
09320,,,
09321,,,
09322,,,
09323,,,
09324,,,
09325,,,
09326,,,
09327,,,
09328,,,
09329,,,
09330,,,
09331,,,
09332,,,
09333,,,
09334,,,
09335,,,
09336,,,
09337,,,
09338,,,
09339,,,
09340,,,
09341,,,
09342,,,
09343,,,
09344,,,
09345,,,
09346,,,
09347,,,
09348,,,
09349,,,
09350,,,
09351,,,
09352,,,
09353,,,
09354,,,
09355,,,
09356,,,
09357,,,
09358,,,
09359,,,
09360,,,
09361,,,
09362,,,
09363,,,
09364,,,
09365,,,
09366,,,
09367,,,
09368,,,
09369,,,
09370,,,
09371,,,
09372,,,
09373,,,
09374,,,
09375,,,
09376,,,
09377,,,
09378,,,
09379,,,
09380,,,
09381,,,
09382,,,
09383,,,
09384,,,
09385,,,
09386,,,
09387,,,
09388,,,
09389,,,
09390,,,
09391,,,
09392,,,
09393,,,
09394,,,
09395,,,
09396,,,
09397,,,
09398,,,
09399,,,
09400,PUNTERA PARASOL TUBULAR,1.332,6.2
09401,NUCLEO CENTRAL PARASOL TUBULAR,1.102,6.2
09402,,,
09403,,,
09404,,,
09405,,,
09406,,,
09407,,,
09408,,,
09409,,,
09410,,,
09411,,,
09412,,,
09413,,,
09414,,,
09415,,,
09416,,,
09417,,,
09418,,,
09419,,,
09420,,,
09421,,,
09422,,,
09423,,,
09424,,,
09425,,,
09426,,,
09427,,,
09428,,,
09429,,,
09430,,,
09431,,,
09432,,,
09433,,,
09434,,,
09435,,,
09436,,,
09437,,,
09438,,,
09439,,,
09440,,,
09441,,,
09442,,,
09443,,,
09444,,,
09445,,,
09446,,,
09447,,,
09448,,,
09449,,,
09450,,,
09451,,,
09452,,,
09453,,,
09454,,,
09455,,,
09456,,,
09457,,,
09458,,,
09459,,,
09460,,,
09461,,,
09462,,,
09463,,,
09464,,,
09465,,,
09466,,,
09467,,,
09468,,,
09469,,,
09470,,,
09471,,,
09472,,,
09473,,,
09474,,,
09475,,,
09476,,,
09477,,,
09478,,,
09479,,,
09480,,,
09481,,,
09482,,,
09483,,,
09484,,,
09485,,,
09486,,,
09487,,,
09488,,,
09489,,,
09490,,,
09491,,,
09492,,,
09493,,,
09494,,,
09495,,,
09496,,,
09497,,,
09498,,,
09499,,,
09500,LARGUERO,0.786,6.2
09501,CONTRATAPA,0.408,6.2
09502,TAPA 20mm,0.372,6.2
09503,TAPA CURVA 59MM,0.655,
09504,COLUMNA 120MM FRENTE INTEGRAL,2.263,6.2
09505,ADAPTADOR DVH FRENTE INTEGRAL,0.434,6.2
09506,CONTRATAPA FRENTE INTEGRAL,0.428,6.2
09507,,,
09508,COLUMNA 63.5MM FRENTE INTEGRAL,1.756,6.2
09509,TAPA PARA COLUMNA 63.5MM FRENTE INTEGRAL,0.212,6.2
09510,,,
09511,,,
09512,,,
09513,,,
09514,,,
09515,,,
09516,,,
09517,,,
09518,,,
09519,,,
09520,,,
,,,
ECVUL3228,ESPECIALES CLIENTE VULCANO CONJUNTO CAÑO 32 CON CAÑO 28,0.48,1.8
