Código,Nombre,Peso (kg/m),Largo (m)
00719,"PLANCHUELA 39,0 x 3,0mm",0.322,6.05
00720,PLANCHUELA ESPECIAL A,0.23,6.05
00721,"PLANCHUELA 40,0 x 2,5mm",0.275,6.05
00722,"PLANCHUELA 40,0 x 10,00mm",1.099,6.05
00723,"PLANCHUELA 50,0 x 5,0mm",0.688,6.05
00724,"PLANCHUELA 80,0 x 10,0mm",2.202,6.05
00725,"PLANCHUELA 100,0 x 10,0mm",2.753,6.05
00726,"PLANCHUELA 76,2 x 12,7mm",2.664,6.05
00727,"PLANCHUELA 25,0 x 3,0mm",0.206,6.05
00728,"PLANCHUELA 101,6 x 25,4mm",7.106,6.05
00729,,,
00730,"PLANCHUELA 120,0 x 10,0mm",3.302,6.05
00731,"PLANCHUELA 100,0 x 15,0mm",4.128,6.05
00732,"PLANCHUELA 50,0 x 20,0mm",2.751,6.05
00733,"PLANCHUELA 50,0 x 25,0mm",3.44,6.05
00734,,,
00735,"PLANCHUELA 16,0 x 2,0mm",0.087,6.05
00736,,,
00737,,,
00738,,,
00739,,,
00740,,,
00741,"PLANCHUELA 20,0 x 5,0mm",0.274,6.05
00746,"PLANCHUELA 40,0 x 4,5mm",0.495,6.05
00747,,,
00748,,,
00749,,,
00750,,,
00751,,,
00752,"PLANCHUELA 31,7 x 3,0mm",0.27,6.05
00760,PLANCHUELA ESPECIAL C,,
00761,"PLANCHUELA 60,0 x 1,5mm",0.25,6.05
00762,"PLANCHUELA 60,0 x 2,8mm",0.379,6.05
00765,"PLANCHUELA 50,0 x 3,0mm",0.42,6.05
00766,"PLANCHUELA 31,5 x 4,3mm",0.38,6.05
00767,"PLANCHUELA 75,0 x 15,0mm",3.098,6.05
00768,"PLANCHUELA 50,0 x 10,0mm",1.376,6.05
00772,PLANCHUELA 60 X 1.8 mm,0.297,6.05
00790,"PLANCHUELA 90 x 0,9",0.223,6.05
00799,PANADERA DE 20 MM,,
00800,PANADERA DE 27 MM,,
00801,PANADERA DE 30mm,0.205,6.05
00802,ESCUADRA DE ARMADO DE 30 MM,,
00804,"PANADERA DE 30mmX8,5mm",0.218,6.05
00850,PORTA VIDRIO DE TABLIQUE Nº8,,
00851,PARANTE DE TABIQUE Nº 9,,
00900,GRAMPA,,
00901,PRENSA CABLE,,
00902,RIEL OLMAR,,
00903,RIEL DIN 35 MM,,
00904,RIEL ZOLODA,,
00905,PERFIL ILUMINACION,0.448,
00906,RIEL ESPECIAL,0.897,6.05
00950,U ESPECIAL A,,
00951,,,
00955,U ESPECIAL C,,
01000,,,
01001,"T 19,0 X 19,0 X 2,0mm",0.198,6.05
01002,,,
01003,,,
